"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"137","subj_15_tissif_MN1_10",15,"tissif","MN2","10","I","260",775,1564,2646,3850,7,11,15,17,"F","BB"
"138","subj_15_tissif_MN1_12",15,"tissif","MN2","12","I","263",663,1569,2928,3440,6,11,15,17,"F","BB"
"139","subj_15_tissif_MN1_20",15,"tissif","MN2","20","I","274",687,1410,2617,3840,6,11,15,17,"F","BB"
"140","subj_15_tissif_Pre_15",15,"tissif","Pre","15","I","276",548,2018,3012,4381,5,13,16,18,"F","BB"
"141","subj_15_tissif_Pre_39",15,"tissif","Pre","39","I","274",603,2180,3026,4300,6,13,16,18,"F","BB"
"142","subj_15_tissif_Pre_46",15,"tissif","Pre","46","I","264",531,2081,2990,3425,5,13,16,16,"F","BB"
"143","subj_17_kiggif_1_Post",17,"kiggif","Post","1","I","249",417,2222,2614,3758,4,14,15,17,"F","BB"
"144","subj_17_kiggif_26_Post",17,"kiggif","Post","26","I","224",435,2209,2752,3623,4,14,15,17,"F","BB"
"145","subj_17_kiggif_46_Post",17,"kiggif","Post","46","I","205",411,2042,2618,3551,4,13,15,17,"F","BB"
"146","subj_17_kiggif_AF2_39",17,"kiggif","AF1","39","I","288",378,1460,2326,3504,4,11,14,17,"F","BB"
"147","subj_17_kiggif_AF2_40",17,"kiggif","AF1","40","I","273",537,1702,2228,3640,5,12,14,17,"F","BB"
"148","subj_17_kiggif_AF2_52",17,"kiggif","AF1","52","I","251",511,1543,2245,3700,5,11,14,17,"F","BB"
"149","subj_17_kiggif_MN1_17",17,"kiggif","MN2","17","I","322",636,1628,2275,3761,6,12,14,17,"F","BB"
"150","subj_17_kiggif_MN1_21",17,"kiggif","MN2","21","I","305",594,1516,2383,3648,6,11,14,17,"F","BB"
"151","subj_17_kiggif_MN1_47",17,"kiggif","MN2","47","I","290",558,1409,2492,3441,5,11,14,17,"F","BB"
"152","subj_17_kiggif_Pre_20",17,"kiggif","Pre","20","I","238",449,2210,2992,3788,5,14,16,17,"F","BB"
"153","subj_17_kiggif_Pre_47",17,"kiggif","Pre","47","I","237",451,2144,2722,3709,5,13,15,17,"F","BB"
"154","subj_17_kiggif_Pre_8",17,"kiggif","Pre","8","I","232",450,2205,2846,3696,5,14,15,17,"F","BB"
"155","subj_17_piffif_3_Post",17,"piffif","Post","3","I","231",465,1932,2672,3805,5,13,15,17,"F","BB"
"156","subj_17_piffif_44_Post",17,"piffif","Post","44","I","231",474,1843,2656,4171,5,12,15,18,"F","BB"
"157","subj_17_piffif_50_Post",17,"piffif","Post","50","I","215",441,1871,2604,3523,4,12,15,17,"F","BB"
"158","subj_17_piffif_AF2_22",17,"piffif","AF1","22","I","264",469,1331,2746,3690,5,10,15,17,"F","BB"
"159","subj_17_piffif_AF2_29",17,"piffif","AF1","29","I","266",365,1305,2566,3727,4,10,15,17,"F","BB"
"160","subj_17_piffif_AF2_50",17,"piffif","AF1","50","I","246",495,1240,2222,3772,5,10,14,17,"F","BB"
"161","subj_17_piffif_MN1_1",17,"piffif","MN2","1","I","333",659,1636,2378,3992,6,12,14,18,"F","BB"
"162","subj_17_piffif_MN1_20",17,"piffif","MN2","20","I","285",600,1439,2389,3966,6,11,14,18,"F","BB"
"163","subj_17_piffif_MN1_37",17,"piffif","MN2","37","I","310",616,1257,2168,3958,6,10,13,18,"F","BB"
"164","subj_17_piffif_Pre_19",17,"piffif","Pre","19","I","246",485,1840,2716,3918,5,12,15,17,"F","BB"
"165","subj_17_piffif_Pre_51",17,"piffif","Pre","51","I","243",481,1948,2693,4019,5,13,15,18,"F","BB"
